,Latitude,Longitude,City,Country,PostalCode,Street,OperatorName
1497,46.606481,7.10878,Broc,CHE,1636,Rue Jules Bellet 7,Bgdi_Admin
1498,46.606481,7.10878,Broc,CHE,1636,Rue Jules Bellet 7,Bgdi_Admin
1499,46.963238,7.4321,Bern,CHE,3012,Neubrückstrasse 166,Bgdi_Admin
1500,46.963238,7.4321,Bern,CHE,3012,Neubrückstrasse 166,Bgdi_Admin
1501,47.256462,8.851547,Rüti,CHE,8630,Werkstrasse 27,Bgdi_Admin
1502,47.256462,8.851547,Rüti,CHE,8630,Werkstrasse 27,Bgdi_Admin
1503,47.256462,8.851547,Rüti,CHE,8630,Werkstrasse 27,Bgdi_Admin
1504,47.498563,7.607845,Arlesheim,CHE,4144,Talstrasse 47,Bgdi_Admin
1505,47.31877,8.57894,Küsnacht,CHE,8700,Seestrasse 120,Bgdi_Admin
1506,47.31877,8.57894,Küsnacht,CHE,8700,Seestrasse 120,Bgdi_Admin
1507,47.31877,8.57894,Küsnacht,CHE,8700,Seestrasse 120,Bgdi_Admin
1508,47.437577,9.405831,St. Gallen,CHE,9016,Rorschacherstrasse 253,Bgdi_Admin
1509,47.437577,9.405831,St. Gallen,CHE,9016,Rorschacherstrasse 253,Bgdi_Admin
1510,47.371339,8.002168,Schönenwerd,CHE,5012,Oltnerstrasse,Bgdi_Admin
1511,47.371339,8.002168,Schönenwerd,CHE,5012,Oltnerstrasse,Bgdi_Admin
1512,46.621925,6.961746,Sâles,CHE,1625,Route de la Joretta 130,Bgdi_Admin
1513,47.459974,9.051383,Wil,CHE,9500,Rotschürstrasse 17,Bgdi_Admin
1514,47.459974,9.051383,Wil,CHE,9500,Rotschürstrasse 17,Bgdi_Admin
1515,47.535294,9.396744,Egnach,CHE,9322,Wiedehorn 4,Bgdi_Admin
1516,47.535294,9.396744,Egnach,CHE,9322,Wiedehorn 4,Bgdi_Admin
1517,47.04666,9.445072,Saragans,CHE,7320,Stockbrühlweg 4,Bgdi_Admin
1518,47.04666,9.445072,Saragans,CHE,7320,Stockbrühlweg 4,Bgdi_Admin
1519,46.51848,7.056156,Albeuve,CHE,1669,Route de l'Intyamon 103,Bgdi_Admin
1520,47.644972,9.197016,Kreuzlingen,CHE,8280,Bleichestrasse,Bgdi_Admin
1521,47.644972,9.197016,Kreuzlingen,CHE,8280,Bleichestrasse,Bgdi_Admin
1522,46.230547,6.110126,Le Grand-Saconnex,CHE,1216,Genève Aéroport 1,Bgdi_Admin
1523,46.230547,6.110126,Le Grand-Saconnex,CHE,1216,Genève Aéroport 1,Bgdi_Admin
1524,46.230547,6.110126,Le Grand-Saconnex,CHE,1216,Genève Aéroport 1,Bgdi_Admin
1525,47.466796,9.037296,Wil,CHE,9500,Zürcherstrasse 30,Bgdi_Admin
1526,47.199536,7.52578,Solothurn,CHE,4500,Römerstrasse 49,Bgdi_Admin
1527,47.199536,7.52578,Solothurn,CHE,4500,Römerstrasse 49,Bgdi_Admin
1528,47.209554,7.536554,Solothurn,CHE,4502,Untere Steingrubenstrasse 1,Bgdi_Admin
1529,47.209554,7.536554,Solothurn,CHE,4502,Untere Steingrubenstrasse 1,Bgdi_Admin
1530,46.206895,6.104442,Le Lignon,CHE,1219,Chemin du Château-Bloch 2,Bgdi_Admin
