,Unnamed: 0,Postleitzahl,Anzahl,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK
262,263,1644.0,6,1644.0,36.46,FR,2122.0,Pont-en-Ogoz
263,264,1233.0,6,1233.0,99.49,GE,6607.0,Bernex
264,265,4102.0,6,4102.0,99.23,BL,2765.0,Binningen
265,266,2560.0,6,2560.0,100.0,BE,743.0,Nidau
266,267,2114.0,6,2114.0,25.29,NE,6512.0,Val-de-Travers
267,268,9422.0,6,9422.0,0.68,SG,3216.0,Rorschacherberg
268,269,8840.0,6,8840.0,55.22,SZ,1301.0,Einsiedeln
269,270,8047.0,5,8047.0,4.03,ZH,261.0,Zürich
270,271,5612.0,5,5612.0,82.7,AG,4080.0,Villmergen
271,272,6612.0,5,6612.0,99.94,TI,5091.0,Ascona
272,273,4104.0,5,4104.0,100.0,BL,2771.0,Oberwil (BL)
273,274,2503.0,5,2503.0,30.4,BE,371.0,Biel/Bienne
274,275,6002.0,5,,,,,
275,276,6207.0,5,6207.0,0.42,LU,1093.0,Neuenkirch
276,277,5742.0,5,5742.0,99.7,AG,4276.0,Kölliken
277,278,5033.0,5,5033.0,100.0,AG,4003.0,Buchs (AG)
278,279,1964.0,5,1964.0,47.19,VS,6023.0,Conthey
279,280,8716.0,5,8716.0,98.09,SG,3338.0,Schmerikon
280,281,1844.0,5,1844.0,100.0,VD,5414.0,Villeneuve (VD)
281,282,3176.0,5,3176.0,77.44,BE,670.0,Neuenegg
282,283,5507.0,5,5507.0,100.0,AG,4033.0,Mellingen
283,284,3613.0,5,3613.0,11.31,BE,928.0,Heimberg
284,285,2552.0,5,2552.0,0.37,BE,733.0,Brügg
285,286,3210.0,5,3210.0,3.49,BE,665.0,Gurbrü
286,287,3555.0,5,3555.0,0.22,BE,902.0,Langnau im Emmental
287,288,4852.0,5,4852.0,98.88,AG,4282.0,Rothrist
288,289,3225.0,5,3225.0,100.0,BE,498.0,Müntschemier
289,290,1730.0,5,1730.0,44.83,FR,2233.0,Hauterive (FR)
290,291,3627.0,5,3627.0,88.55,BE,928.0,Heimberg
291,292,6234.0,5,6234.0,74.49,LU,1104.0,Triengen
292,293,8704.0,5,8704.0,99.9,ZH,152.0,Herrliberg
293,294,8890.0,5,8890.0,43.22,SG,3292.0,Flums
294,295,8767.0,5,8767.0,12.26,GL,1631.0,Glarus Süd
295,296,2072.0,5,2072.0,2.6,NE,6451.0,Cornaux
296,297,2300.0,5,2300.0,97.68,NE,6421.0,La Chaux-de-Fonds
297,298,7503.0,5,7503.0,99.27,GR,3786.0,Samedan
298,299,6373.0,5,6373.0,93.55,NW,1505.0,Ennetbürgen
299,300,1202.0,5,1202.0,13.72,GE,6621.0,Genève
300,301,8306.0,5,8306.0,49.8,ZH,200.0,Wangen-Brüttisellen
301,302,4051.0,5,4051.0,9.05,BS,2701.0,Basel
302,303,3048.0,5,3048.0,0.48,BE,351.0,Bern
303,304,3084.0,5,3084.0,0.27,BE,351.0,Bern
304,305,1024.0,5,1024.0,96.42,VD,5635.0,Ecublens (VD)
305,306,3855.0,5,3855.0,99.8,BE,573.0,Brienz (BE)
306,307,8702.0,5,8702.0,68.36,ZH,161.0,Zollikon
307,308,6003.0,5,6003.0,16.5,LU,1061.0,Luzern
308,309,2502.0,5,2502.0,37.27,BE,371.0,Biel/Bienne
309,310,6436.0,5,6436.0,0.18,UR,1205.0,Bürglen (UR)
310,311,3552.0,5,3552.0,15.82,BE,902.0,Langnau im Emmental
311,312,6390.0,5,6390.0,2.19,UR,1203.0,Attinghausen
312,313,9050.0,5,9050.0,99.38,AI,3101.0,Appenzell
313,314,3608.0,5,3608.0,9.03,BE,942.0,Thun
314,315,6900.0,5,6900.0,19.51,TI,5192.0,Lugano
315,316,3454.0,5,3454.0,1.47,BE,955.0,Lützelflüh
316,317,9100.0,5,9100.0,96.56,AR,3001.0,Herisau
317,318,1796.0,5,1796.0,89.52,FR,2250.0,Courgevaux
318,319,7205.0,5,7205.0,99.09,GR,3947.0,Zizers
319,320,8302.0,5,8302.0,99.62,ZH,62.0,Kloten
320,321,2017.0,5,2017.0,84.46,NE,6404.0,Boudry
321,322,4242.0,5,4242.0,2.39,BL,2782.0,Brislach
322,323,8730.0,5,8730.0,0.38,SZ,1347.0,Tuggen
323,324,3612.0,4,3612.0,0.43,BE,925.0,Fahrni
324,325,6243.0,4,6243.0,98.38,LU,1127.0,Egolzwil
325,326,1716.0,4,1716.0,0.95,FR,2138.0,Jaun
326,327,3294.0,4,3294.0,100.0,BE,383.0,Büren an der Aare
327,328,8833.0,4,8833.0,25.24,ZH,138.0,Richterswil
328,329,9325.0,4,9325.0,53.82,TG,4431.0,Roggwil (TG)
329,330,4105.0,4,4105.0,100.0,BL,2764.0,Biel-Benken
330,331,53.0,4,,,,,
331,332,2108.0,4,2108.0,6.33,VD,5566.0,Provence
