,web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe,PLZ4,%_IN_GDE,KTKZ,GDENR,GDENAMK,Hist.-Nummer,Kanton,Bezirks-nummer,Bezirksname,BFS Gde-nummer,Gemeindename,Datum der Aufnahme
651,1669622809-840,https://www.autolina.ch/elektro-auto,78'900,9220,,292.0,schwarz,9220.0,5.12,SG,3202.0,Muolen,14379.0,SG,1721.0,St. Gallen,3202,Muolen,2003-01-01
652,1669622809-841,https://www.autolina.ch/elektro-auto,39'390,6331,,136.0,weiss,6331.0,0.33,ZG,1702.0,Cham,11397.0,ZG,900.0,Kt. Zug,1702,Cham,1848-09-12
653,1669622809-842,https://www.autolina.ch/elektro-auto,21'989,5610,2021.0,116.0,weiss,5610.0,0.54,AG,4080.0,Villmergen,15386.0,AG,1903.0,Bremgarten,4080,Villmergen,2010-01-01
654,1669622809-843,https://www.autolina.ch/elektro-auto,24'800,6023,2018.0,170.0,blau,6023.0,0.03,LU,1024.0,Emmen,15563.0,LU,313.0,Hochdorf,1024,Emmen,2013-01-01
655,1669622809-844,https://www.autolina.ch/elektro-auto,66'900,8302,,160.0,weiss,8302.0,99.62,ZH,62.0,Kloten,12673.0,ZH,103.0,Bülach,62,Kloten,1848-09-12
656,1669622809-845,https://www.autolina.ch/elektro-auto,23'900,1024,2022.0,82.0,weiss,1024.0,96.42,VD,5635.0,Ecublens (VD),14721.0,VD,2229.0,Ouest lausannois,5635,Ecublens (VD),2006-09-01
657,1669622809-846,https://www.autolina.ch/elektro-auto,5'500,8413,2011.0,67.0,weiss,8413.0,81.12,ZH,223.0,Neftenbach,15514.0,ZH,110.0,Winterthur,223,Neftenbach,2013-01-01
658,1669622809-847,https://www.autolina.ch/elektro-auto,69'690,8804,2022.0,299.0,sonstiges,8804.0,18.96,ZH,293.0,Wädenswil,16123.0,ZH,106.0,Horgen,293,Wädenswil,2019-01-01
659,1669622809-848,https://www.autolina.ch/elektro-auto,156'500,8706,,598.0,grau,8706.0,100.0,ZH,156.0,Meilen,12408.0,ZH,107.0,Meilen,156,Meilen,1848-09-12
660,1669622809-849,https://www.autolina.ch/elektro-auto,114'000,8600,,408.0,grau,8600.0,0.2,ZH,54.0,Dietlikon,11563.0,ZH,103.0,Bülach,54,Dietlikon,1848-09-12
